""	"PARTID"	"order"	"item"	"CODE"
"444"	"acgn009"	5	"tro"	"tro"
"445"	"acgn011"	3	"tro"	"tro"
"446"	"KK001"	1	"Tro"	"tro"
"447"	"KK003"	2	"Tro"	"tro"
"448"	"KK009"	5	"Tro"	"tro"
"449"	"KK013"	4	"Tro"	"tro"
"450"	"KK014"	4	"Tro"	"tro"
"451"	"msr003"	1	"tro"	"tro"
"452"	"msc004"	1	"Tro"	"tro"
"453"	"msc007"	1	"Tro"	"tro"
"454"	"msc009"	1	"Tro"	"tro"
"455"	"naj010"	1	"Tro"	"tro"
"456"	"naj014"	1	"Tro"	"tro"
"457"	"LM009"	1	"Tro og religion"	"tro"
"458"	"msr003"	4	"troest"	"trøst"
"459"	"LM005"	2	"Tror ikke på gud"	"tror ikke på gud"
"460"	"LM009"	5	"Tror ogsaa at det i nogle tilfaelde kan have en negativ holdning, hvis man tror at \"gud\", kan lave/skabe mirakler (Tænker doed)"	"negativt"
"461"	"msr002"	5	"trussel"	"trussel"
"462"	"mho004"	3	"tryghed"	"tryghed"
"463"	"LM011"	3	"Tryghed"	"tryghed"
"464"	"LM019"	4	"Tryghed"	"tryghed"
"465"	"lhj007"	5	"tryghed"	"tryghed"
"466"	"acgn009"	3	"tryghed"	"tryghed"
"467"	"KK014"	3	"Tryghed"	"tryghed"
"468"	"msr009"	5	"trykken for brystet"	"trykken for brystet"
"469"	"naj005"	4	"Tvang"	"tvang"
"470"	"LM020"	4	"Tvetydighed"	"tvetydighed"
"471"	"msc009"	4	"Ubestemmeligt"	"ubestemmelig"
"472"	"msc005"	4	"Udvikling"	"udvikling"
"473"	"mho003"	5	"ufejlbarlig"	"ufejlbarlig"
"474"	"msr001"	4	"uforklarlig"	"uforklarlig"
"475"	"acgn003"	4	"ulogisk"	"ulogisk"
"476"	"LM003"	4	"Underligt"	"underligt"
"477"	"LM016"	5	"Undervisning"	"undervisning"
"478"	"msr007"	4	"universet"	"universet"
"479"	"msc003"	3	"Usikker"	"usikker"
"480"	"mho002"	1	"vandrehistorier"	"vandrehistorie"
"481"	"naj005"	5	"Vanvid"	"vanvid"
"482"	"LM007"	3	"Viden"	"viden"
"483"	"naj005"	3	"Videnskab"	"videnskab"
"484"	"acgn006"	5	"vigtig"	"vigtig"
"485"	"KK011"	3	"Virkelighedsfjern"	"virkelighedsfjern"
"486"	"mho006"	5	"visdom"	"visdom"
"487"	"LM018"	3	"Vrede"	"vrede"
